payment_id,invoice_id,payment_date,amount,bank_account_ref
PMT-5000,INV-3000,2024-01-15,2036.94,BA-45052250
PMT-5001,INV-3001,2024-01-07,4774.79,BA-78851172
PMT-5002,INV-3002,2024-01-15,1300.41,BA-45925506
PMT-5003,INV-3003,2024-01-21,3327.51,BA-71257352
PMT-5004,INV-3004,2024-01-14,1256.22,BA-58352122
PMT-5005,INV-3005,2024-01-07,2204.8,BA-54791387
PMT-5006,INV-3006,2024-01-05,5837.74,BA-71861787
PMT-5007,INV-3007,2024-01-11,6825.46,BA-50858176
PMT-5008,INV-3008,2024-01-12,1225.61,BA-10788743
PMT-5009,INV-3009,2024-01-15,1950.3,BA-64520484
PMT-5010,INV-3010,2024-01-10,3263.93,BA-61961432
PMT-5011,INV-3011,2024-01-18,714.76,BA-47500018
PMT-5012,INV-3012,2024-01-04,1346.58,BA-84396090
PMT-5013,INV-3013,2024-01-22,1843.98,BA-65421310
PMT-5014,INV-3014,2024-01-18,1713.24,BA-79948760
PMT-5015,INV-3015,2024-01-07,9687.17,BA-37267733
PMT-5016,INV-3016,2024-01-04,2212.87,BA-17330681
PMT-5017,INV-3017,2024-01-19,3250.64,BA-96319863
PMT-5018,INV-3018,2024-01-07,5481.05,BA-82616531
PMT-5019,INV-3019,2024-01-06,687.27,BA-60817437
PMT-5020,INV-3020,2024-01-12,6941.67,BA-34256684
PMT-5021,INV-3021,2024-01-10,6268.14,BA-33651543
PMT-5022,INV-3022,2024-01-09,1618.22,BA-34669572
PMT-5023,INV-3023,2024-01-22,2445.69,BA-51519704
PMT-5024,INV-3024,2024-01-14,7331.46,BA-44030791
PMT-5025,INV-3025,2024-01-17,10921.13,BA-28278537
PMT-5026,INV-3026,2024-01-09,4441.42,BA-22134061
PMT-5027,INV-3027,2024-01-23,326.35,BA-41075102
PMT-5028,INV-3028,2024-01-13,3446.82,BA-15117547
PMT-5029,INV-3029,2024-01-22,1548.71,BA-38152097
PMT-5030,INV-3030,2024-01-13,3962.33,BA-35824443
PMT-5031,INV-3031,2024-01-19,2489.55,BA-36146343
PMT-5032,INV-3032,2024-01-05,1199.61,BA-55810041
PMT-5033,INV-3033,2024-01-05,699.44,BA-96363470
PMT-5034,INV-3034,2024-01-15,984.87,BA-41358823
PMT-5035,INV-3035,2024-01-09,4935.75,BA-45265254
PMT-5036,INV-3036,2024-01-20,5340.78,BA-36467949
PMT-5037,INV-3037,2024-01-21,2881.33,BA-45339330
PMT-5038,INV-3038,2024-01-20,1042.18,BA-68526645
PMT-5039,INV-3039,2024-01-06,2229.22,BA-80848359
PMT-5040,INV-3040,2024-01-07,1157.19,BA-45951526
PMT-5041,INV-3041,2024-01-08,11308.16,BA-32555071
PMT-5042,INV-3042,2024-01-11,672.52,BA-13930009
PMT-5043,INV-3043,2024-01-18,2411.73,BA-72365992
PMT-5044,INV-3044,2024-01-21,873.18,BA-81329184
PMT-5045,INV-3045,2024-01-11,2730.25,BA-55032202
PMT-5046,INV-3046,2024-01-20,1414.96,BA-12444531
PMT-5047,INV-3047,2024-01-18,5952.19,BA-93094361
PMT-5048,INV-3048,2024-01-13,4524.75,BA-35153788
PMT-5049,INV-3049,2024-01-22,2625.01,BA-14547848
PMT-5050,INV-3050,2024-01-08,3647.57,BA-80635798
PMT-5051,INV-3051,2024-01-17,2529.28,BA-15590093
PMT-5052,INV-3052,2024-01-16,1836.24,BA-50509631
PMT-5053,INV-3053,2024-01-23,8910.57,BA-16481569
PMT-5054,INV-3054,2024-01-13,4911.98,BA-92374421
PMT-5055,INV-3055,2024-01-16,2386.85,BA-17056578
PMT-5056,INV-3056,2024-01-11,11109.61,BA-26262455
PMT-5057,INV-3057,2024-01-25,2495.83,BA-92374421
PMT-5058,INV-3058,2024-01-08,3032.14,BA-12161771
PMT-5059,INV-3059,2024-01-13,1342.04,BA-78041437
PMT-5060,INV-3060,2024-01-12,4653.27,BA-22633303
PMT-5061,INV-3061,2024-01-18,2042.52,BA-84321185
PMT-5062,INV-3062,2024-01-21,664.52,BA-24667188
PMT-5063,INV-3063,2024-01-17,9958.98,BA-77867728
PMT-5064,INV-3064,2024-01-25,3280.59,BA-67794020
PMT-5065,INV-3065,2024-01-21,4456.69,BA-72692316
PMT-5066,INV-3066,2024-01-19,3954.9,BA-70169425
PMT-5067,INV-3067,2024-01-18,850.94,BA-69819079
PMT-5068,INV-3068,2024-01-17,1408.48,BA-68974969
PMT-5069,INV-3069,2024-01-07,893.15,BA-80085646
PMT-5070,INV-3070,2024-01-17,1343.29,BA-61061966
PMT-5071,INV-3071,2024-01-25,1031.46,BA-29647200
PMT-5072,INV-3072,2024-01-22,1495.13,BA-72762334
PMT-5073,INV-3073,2024-01-17,981.92,BA-38152097
PMT-5074,INV-3074,2024-01-15,2087.31,BA-60928773
PMT-5075,INV-3075,2024-01-08,2904.67,BA-60928773
PMT-5076,INV-3076,2024-01-15,2557.38,BA-79270678
PMT-5077,INV-3077,2024-01-22,2679.19,BA-20855878
PMT-5078,INV-3078,2024-01-09,1544.57,BA-25700873
PMT-5079,INV-3079,2024-01-12,1593.12,BA-17933677
PMT-5080,INV-3080,2024-01-12,1777.12,BA-62759119
PMT-5081,INV-3081,2024-01-16,1166.2,BA-36053704
PMT-5082,INV-3082,2024-01-20,4477.09,BA-68053039
PMT-5083,INV-3083,2024-01-16,5904.12,BA-16655764
PMT-5084,INV-3084,2024-01-10,4458.3,BA-95537118
PMT-5085,INV-3085,2024-01-24,3726.77,BA-69319824
PMT-5086,INV-3086,2024-01-16,3116.37,BA-45331886
PMT-5087,INV-3087,2024-01-19,1640.63,BA-56100526
PMT-5088,INV-3088,2024-01-26,6747.9,BA-96504107
PMT-5089,INV-3089,2024-01-26,3075.49,BA-29631149
PMT-5090,INV-3090,2024-01-24,4222.46,BA-74984383
PMT-5091,INV-3091,2024-01-26,1849.18,BA-91733095
PMT-5092,INV-3092,2024-01-12,569.37,BA-27354242
PMT-5093,INV-3093,2024-01-09,1145.01,BA-88198558
PMT-5094,INV-3094,2024-01-28,3853.21,BA-77268607
PMT-5095,INV-3095,2024-01-14,1835.33,BA-60024878
PMT-5096,INV-3096,2024-01-17,5185.98,BA-36614050
PMT-5097,INV-3097,2024-01-24,3060.98,BA-74628898
PMT-5098,INV-3098,2024-01-29,3912.08,BA-95659109
PMT-5099,INV-3099,2024-01-14,2309.5,BA-44785794
PMT-5100,INV-3100,2024-01-22,4513.99,BA-51852730
PMT-5101,INV-3101,2024-01-20,2342.94,BA-44941579
PMT-5102,INV-3102,2024-01-18,1867.41,BA-34929120
PMT-5103,INV-3103,2024-01-15,4471.29,BA-62608350
PMT-5104,INV-3104,2024-01-13,5650.18,BA-80352657
PMT-5105,INV-3105,2024-01-20,1252.1,BA-83517017
PMT-5106,INV-3106,2024-01-21,878.71,BA-20089226
PMT-5107,INV-3107,2024-01-22,662.38,BA-81340400
PMT-5108,INV-3108,2024-01-28,10420.54,BA-17626596
PMT-5109,INV-3109,2024-01-19,1350.98,BA-80721337
PMT-5110,INV-3110,2024-01-23,884.24,BA-10481904
PMT-5111,INV-3111,2024-01-29,4190.42,BA-22613208
PMT-5112,INV-3112,2024-01-24,4939.25,BA-31910577
PMT-5113,INV-3113,2024-01-22,599.41,BA-45014973
PMT-5114,INV-3114,2024-01-13,2745.02,BA-77221981
PMT-5115,INV-3115,2024-01-22,4637.65,BA-50319864
PMT-5116,INV-3116,2024-01-22,2086.2,BA-81658059
PMT-5117,INV-3117,2024-01-27,2804.54,BA-17912728
PMT-5118,INV-3118,2024-01-28,2088.51,BA-27354242
PMT-5119,INV-3119,2024-01-23,2044.21,BA-95573037
PMT-5120,INV-3120,2024-01-19,5775.55,BA-44098886
PMT-5121,INV-3121,2024-01-19,1485.09,BA-45494011
PMT-5122,INV-3122,2024-01-23,1110.68,BA-10856538
PMT-5123,INV-3123,2024-01-16,2386.23,BA-55997036
PMT-5124,INV-3124,2024-01-16,3568.03,BA-96865861
PMT-5125,INV-3125,2024-01-18,621.54,BA-76329160
PMT-5126,INV-3126,2024-01-12,5874.42,BA-26671921
PMT-5127,INV-3127,2024-01-26,461.18,BA-56681418
PMT-5128,INV-3128,2024-01-24,5225.27,BA-80110724
PMT-5129,INV-3129,2024-01-27,14658.96,BA-13137377
PMT-5130,INV-3130,2024-01-25,700.37,BA-93066261
PMT-5131,INV-3131,2024-01-31,653.31,BA-88175833
PMT-5132,INV-3132,2024-01-22,5552.36,BA-68551241
PMT-5133,INV-3133,2024-01-18,1965.47,BA-42824244
PMT-5134,INV-3134,2024-01-31,3242.31,BA-63453493
PMT-5135,INV-3135,2024-01-15,657.41,BA-95039187
PMT-5136,INV-3136,2024-01-17,2595.59,BA-19437596
PMT-5137,INV-3137,2024-01-22,3566.08,BA-22145096
PMT-5138,INV-3138,2024-01-22,1121.76,BA-12349408
PMT-5139,INV-3139,2024-01-21,5039.72,BA-54492893
PMT-5140,INV-3140,2024-01-31,5070.16,BA-99394078
PMT-5141,INV-3141,2024-01-30,792.07,BA-24371507
PMT-5142,INV-3142,2024-01-23,437.12,BA-99295127
PMT-5143,INV-3143,2024-01-15,2743.89,BA-69819079
PMT-5144,INV-3144,2024-01-19,729.45,BA-44785794
PMT-5145,INV-3145,2024-01-31,2461.73,BA-17423410
PMT-5146,INV-3146,2024-01-15,25095.54,BA-45052250
PMT-5147,INV-3147,2024-02-01,5512.13,BA-22843161
PMT-5148,INV-3148,2024-01-19,1543.1,BA-68410150
PMT-5149,INV-3149,2024-01-23,2296.8,BA-35712599
PMT-5150,INV-3150,2024-02-01,1543.44,BA-39679134
PMT-5151,INV-3151,2024-01-25,7648.88,BA-67511393
PMT-5152,INV-3152,2024-01-28,3902.22,BA-55641228
PMT-5153,INV-3153,2024-01-25,1719.96,BA-46930712
PMT-5154,INV-3154,2024-01-27,3916.71,BA-35729775
PMT-5155,INV-3155,2024-01-16,2172.06,BA-19437596
PMT-5156,INV-3156,2024-01-29,9651.33,BA-24033524
PMT-5157,INV-3157,2024-01-24,908.86,BA-92685106
PMT-5158,INV-3158,2024-01-19,3527.85,BA-14535640
PMT-5159,INV-3159,2024-01-22,6704.08,BA-21038203
PMT-5160,INV-3160,2024-01-22,10277.7,BA-28278537
PMT-5161,INV-3161,2024-01-31,3139.0,BA-76385704
PMT-5162,INV-3162,2024-01-14,1220.95,BA-86626738
PMT-5163,INV-3163,2024-01-19,3631.81,BA-94507092
PMT-5164,INV-3164,2024-01-23,624.42,BA-45052250
PMT-5165,INV-3165,2024-01-22,4663.21,BA-71230843
PMT-5166,INV-3166,2024-01-15,6602.49,BA-39382030
PMT-5167,INV-3167,2024-01-21,3125.71,BA-47500018
PMT-5168,INV-3168,2024-01-16,2525.18,BA-59106734
PMT-5169,INV-3169,2024-01-27,968.92,BA-21565931
PMT-5170,INV-3170,2024-01-29,1814.87,BA-19722233
PMT-5171,INV-3171,2024-01-21,2686.02,BA-67151806
PMT-5172,INV-3172,2024-01-24,4182.23,BA-59903392
PMT-5173,INV-3173,2024-02-03,4790.46,BA-45494011
PMT-5174,INV-3174,2024-01-21,4690.61,BA-28701665
PMT-5175,INV-3175,2024-01-24,822.79,BA-96126488
PMT-5176,INV-3176,2024-01-25,8506.64,BA-63428001
PMT-5177,INV-3177,2024-01-19,6759.59,BA-89737187
PMT-5178,INV-3178,2024-01-22,3271.41,BA-98301822
PMT-5179,INV-3179,2024-01-19,2976.77,BA-85506730
PMT-5180,INV-3180,2024-01-20,10504.08,BA-85313447
PMT-5181,INV-3181,2024-01-20,4747.65,BA-79188088
PMT-5182,INV-3182,2024-02-05,2281.76,BA-75714920
PMT-5183,INV-3183,2024-01-28,5726.53,BA-88058491
PMT-5184,INV-3184,2024-01-22,1193.68,BA-40026139
PMT-5185,INV-3185,2024-01-18,2098.64,BA-19992509
PMT-5186,INV-3186,2024-01-24,2077.66,BA-48808820
PMT-5187,INV-3187,2024-01-26,2067.23,BA-93094361
PMT-5188,INV-3188,2024-02-04,4981.76,BA-37543972
PMT-5189,INV-3189,2024-01-18,3028.07,BA-95091360
PMT-5190,INV-3190,2024-01-28,1695.64,BA-75745233
PMT-5191,INV-3191,2024-01-18,2817.58,BA-70500023
PMT-5192,INV-3192,2024-01-24,2756.36,BA-17572171
PMT-5193,INV-3193,2024-01-29,1591.11,BA-39962626
PMT-5194,INV-3194,2024-01-29,4282.0,BA-96638318
PMT-5195,INV-3195,2024-01-19,639.74,BA-54030605
PMT-5196,INV-3196,2024-02-03,4445.72,BA-55987803
PMT-5197,INV-3197,2024-01-31,8943.19,BA-72590981
PMT-5198,INV-3198,2024-01-29,1640.92,BA-50767129
PMT-5199,INV-3199,2024-01-24,2187.84,BA-12510524
PMT-5200,INV-3200,2024-01-20,5196.99,BA-36321833
PMT-5201,INV-3201,2024-02-01,2144.28,BA-69990372
PMT-5202,INV-3202,2024-01-20,1536.05,BA-56911734
PMT-5203,INV-3203,2024-01-21,4049.86,BA-72426554
PMT-5204,INV-3204,2024-01-29,1169.67,BA-16458167
PMT-5205,INV-3205,2024-02-03,4239.01,BA-38881120
PMT-5206,INV-3206,2024-01-31,3341.36,BA-63746500
PMT-5207,INV-3207,2024-01-27,4577.05,BA-80338909
PMT-5208,INV-3208,2024-02-02,1401.33,BA-62062410
PMT-5209,INV-3209,2024-01-19,2065.83,BA-65148187
PMT-5210,INV-3210,2024-01-19,1720.12,BA-69382640
PMT-5211,INV-3211,2024-01-29,1480.88,BA-65463927
PMT-5212,INV-3212,2024-02-07,8889.86,BA-16481569
PMT-5213,INV-3213,2024-01-30,4213.81,BA-69072565
